"code","category","value","areaName"
"W92000004","-8","1916529","Wales"
"W92000004","1","136790","Wales"
"W92000004","2","778991","Wales"
"W92000004","3","275184","Wales"
"E12000001","-8","1606109","North East"
"E12000001","1","117767","North East"
"E12000001","2","622065","North East"
"E12000001","3","301072","North East"
"E12000002","-8","4733507","North West"
"E12000002","1","333426","North West"
"E12000002","2","1609858","North West"
"E12000002","3","740606","North West"
"E12000003","-8","3481844","Yorkshire and The Humber"
"E12000003","1","248891","Yorkshire and The Humber"
"E12000003","2","1214698","Yorkshire and The Humber"
"E12000003","3","535341","Yorkshire and The Humber"
"E12000004","-8","3154330","East Midlands"
"E12000004","1","229221","East Midlands"
"E12000004","2","1089730","East Midlands"
"E12000004","3","406772","East Midlands"
"E12000005","-8","3788317","West Midlands"
"E12000005","1","262925","West Midlands"
"E12000005","2","1289185","West Midlands"
"E12000005","3","610332","West Midlands"
"E12000006","-8","4215431","East of England"
"E12000006","1","271820","East of England"
"E12000006","2","1394562","East of England"
"E12000006","3","453261","East of England"
"E12000007","-8","6055820","London"
"E12000007","1","440731","London"
"E12000007","2","1336449","London"
"E12000007","3","966729","London"
"E12000008","-8","6195264","South East"
"E12000008","1","420077","South East"
"E12000008","2","2020237","South East"
"E12000008","3","642487","South East"
"E12000009","-8","3657680","South West"
"E12000009","1","268111","South West"
"E12000009","2","1407208","South West"
"E12000009","3","368187","South West"
"W92000004","-8","1916529","Wales"
"W92000004","1","136790","Wales"
"W92000004","2","778991","Wales"
"W92000004","3","275184","Wales"
"W92000004","1","350470","Wales"
"W92000004","2","595","Wales"
"W92000004","3","11559","Wales"
"W92000004","4","31448","Wales"
"W92000004","5","7606","Wales"
"W92000004","6","4642","Wales"
"W92000004","7","772621","Wales"
"W92000004","8","66045","Wales"
"W92000004","9","15081","Wales"
"W92000004","10","96676","Wales"
"W92000004","11","11702","Wales"
"W92000004","12","1739043","Wales"
"E12000001","1","282172","North East"
"E12000001","2","10649","North East"
"E12000001","3","6531","North East"
"E12000001","4","54868","North East"
"E12000001","5","11873","North East"
"E12000001","6","2762","North East"
"E12000001","7","592874","North East"
"E12000001","8","57668","North East"
"E12000001","9","16089","North East"
"E12000001","10","88091","North East"
"E12000001","11","14476","North East"
"E12000001","12","1508957","North East"
"E12000002","1","913829","North West"
"E12000002","2","19803","North West"
"E12000002","3","37881","North West"
"E12000002","4","144376","North West"
"E12000002","5","38856","North West"
"E12000002","6","11186","North West"
"E12000002","7","1661538","North West"
"E12000002","8","154251","North West"
"E12000002","9","57624","North West"
"E12000002","10","267791","North West"
"E12000002","11","34608","North West"
"E12000002","12","4075652","North West"
"E12000003","1","637370","Yorkshire and The Humber"
"E12000003","2","3900","Yorkshire and The Humber"
"E12000003","3","21030","Yorkshire and The Humber"
"E12000003","4","109745","Yorkshire and The Humber"
"E12000003","5","28026","Yorkshire and The Humber"
"E12000003","6","8778","Yorkshire and The Humber"
"E12000003","7","1253536","Yorkshire and The Humber"
"E12000003","8","121906","Yorkshire and The Humber"
"E12000003","9","47760","Yorkshire and The Humber"
"E12000003","10","204643","Yorkshire and The Humber"
"E12000003","11","24676","Yorkshire and The Humber"
"E12000003","12","3019405","Yorkshire and The Humber"
"E12000004","1","586025","East Midlands"
"E12000004","2","5417","East Midlands"
"E12000004","3","10629","East Midlands"
"E12000004","4","73595","East Midlands"
"E12000004","5","15607","East Midlands"
"E12000004","6","8932","East Midlands"
"E12000004","7","1209617","East Midlands"
"E12000004","8","113595","East Midlands"
"E12000004","9","44716","East Midlands"
"E12000004","10","182625","East Midlands"
"E12000004","11","21566","East Midlands"
"E12000004","12","2607730","East Midlands"
"E12000005","1","676936","West Midlands"
"E12000005","2","4740","West Midlands"
"E12000005","3","28775","West Midlands"
"E12000005","4","109894","West Midlands"
"E12000005","5","29931","West Midlands"
"E12000005","6","9093","West Midlands"
"E12000005","7","1396152","West Midlands"
"E12000005","8","133762","West Midlands"
"E12000005","9","38436","West Midlands"
"E12000005","10","185913","West Midlands"
"E12000005","11","25256","West Midlands"
"E12000005","12","3311868","West Midlands"
"E12000006","1","966487","East of England"
"E12000006","2","18366","East of England"
"E12000006","3","69954","East of England"
"E12000006","4","61931","East of England"
"E12000006","5","16936","East of England"
"E12000006","6","13632","East of England"
"E12000006","7","1445280","East of England"
"E12000006","8","114537","East of England"
"E12000006","9","70857","East of England"
"E12000006","10","219725","East of England"
"E12000006","11","30935","East of England"
"E12000006","12","3306433","East of England"
"E12000007","1","1836823","London"
"E12000007","2","431842","London"
"E12000007","3","231074","London"
"E12000007","4","386068","London"
"E12000007","5","22544","London"
"E12000007","6","30404","London"
"E12000007","7","897111","London"
"E12000007","8","63883","London"
"E12000007","9","128833","London"
"E12000007","10","279453","London"
"E12000007","11","52040","London"
"E12000007","12","4439651","London"
"E12000008","1","1603079","South East"
"E12000008","2","8734","South East"
"E12000008","3","98706","South East"
"E12000008","4","113131","South East"
"E12000008","5","20854","South East"
"E12000008","6","22226","South East"
"E12000008","7","1976300","South East"
"E12000008","8","156802","South East"
"E12000008","9","86468","South East"
"E12000008","10","340737","South East"
"E12000008","11","44742","South East"
"E12000008","12","4806285","South East"
"E12000009","1","818531","South West"
"E12000009","2","1265","South West"
"E12000009","3","13321","South West"
"E12000009","4","75929","South West"
"E12000009","5","8257","South West"
"E12000009","6","17194","South West"
"E12000009","7","1319538","South West"
"E12000009","8","100997","South West"
"E12000009","9","63427","South West"
"E12000009","10","248004","South West"
"E12000009","11","25871","South West"
"E12000009","12","3008852","South West"
"W92000004","1","350470","Wales"
"W92000004","2","595","Wales"
"W92000004","3","11559","Wales"
"W92000004","4","31448","Wales"
"W92000004","5","7606","Wales"
"W92000004","6","4642","Wales"
"W92000004","7","772621","Wales"
"W92000004","8","66045","Wales"
"W92000004","9","15081","Wales"
"W92000004","10","96676","Wales"
"W92000004","11","11702","Wales"
"W92000004","12","1739043","Wales"
