code,region,household_size,household_size_count,total_population,percentage
W92000004,Wales,0,0,3107494,0.0
W92000004,Wales,0,0,3107494,0.0
W92000004,Wales,1,429559,3107494,13.823325161689773
W92000004,Wales,1,429559,3107494,13.823325161689773
W92000004,Wales,2,472906,3107494,15.218243381966303
W92000004,Wales,2,472906,3107494,15.218243381966303
W92000004,Wales,3,212281,3107494,6.831260172988267
W92000004,Wales,3,212281,3107494,6.831260172988267
W92000004,Wales,4,157455,3107494,5.066944618396689
W92000004,Wales,4,157455,3107494,5.066944618396689
W92000004,Wales,5,52304,3107494,1.6831569103592798
W92000004,Wales,5,52304,3107494,1.6831569103592798
W92000004,Wales,6,15162,3107494,0.4879172735329497
W92000004,Wales,6,15162,3107494,0.4879172735329497
W92000004,Wales,7,4709,3107494,0.1515368975772761
W92000004,Wales,7,4709,3107494,0.1515368975772761
W92000004,Wales,8,2738,3107494,0.08810958283427095
W92000004,Wales,8,2738,3107494,0.08810958283427095
W92000004,Wales,0,0,3107494,0.0
W92000004,Wales,0,0,3107494,0.0
W92000004,Wales,1,429559,3107494,13.823325161689773
W92000004,Wales,1,429559,3107494,13.823325161689773
W92000004,Wales,2,472906,3107494,15.218243381966303
W92000004,Wales,2,472906,3107494,15.218243381966303
W92000004,Wales,3,212281,3107494,6.831260172988267
W92000004,Wales,3,212281,3107494,6.831260172988267
W92000004,Wales,4,157455,3107494,5.066944618396689
W92000004,Wales,4,157455,3107494,5.066944618396689
W92000004,Wales,5,52304,3107494,1.6831569103592798
W92000004,Wales,5,52304,3107494,1.6831569103592798
W92000004,Wales,6,15162,3107494,0.4879172735329497
W92000004,Wales,6,15162,3107494,0.4879172735329497
W92000004,Wales,7,4709,3107494,0.1515368975772761
W92000004,Wales,7,4709,3107494,0.1515368975772761
W92000004,Wales,8,2738,3107494,0.08810958283427095
W92000004,Wales,8,2738,3107494,0.08810958283427095
E12000001,North East,0,0,2647013,0.0
E12000001,North East,1,395924,2647013,14.957387817891338
E12000001,North East,2,410822,2647013,15.520210894317483
E12000001,North East,3,183528,2647013,6.933400024858208
E12000001,North East,4,128338,2647013,4.84840837578055
E12000001,North East,5,39167,2647013,1.4796678369165546
E12000001,North East,6,12028,2647013,0.4543989772622953
E12000001,North East,7,3687,2647013,0.139289077915371
E12000001,North East,8,2186,2647013,0.08258365183699513
E12000002,North West,0,0,7417397,0.0
E12000002,North West,1,1014910,7417397,13.682832400638661
E12000002,North West,2,1054079,7417397,14.210901748955868
E12000002,North West,3,500601,7417397,6.749011816409449
E12000002,North West,4,377427,7417397,5.088402306092016
E12000002,North West,5,133010,7417397,1.793216676955541
E12000002,North West,6,45673,7417397,0.6157550957566381
E12000002,North West,7,16093,7417397,0.2169629049112512
E12000002,North West,8,11611,7417397,0.1565373944525283
E12000003,Yorkshire and The Humber,0,0,5480774,0.0
E12000003,Yorkshire and The Humber,1,733558,5480774,13.38420449374486
E12000003,Yorkshire and The Humber,2,814139,5480774,14.854453038932093
E12000003,Yorkshire and The Humber,3,356185,5480774,6.498808379984287
E12000003,Yorkshire and The Humber,4,276060,5480774,5.036879827557203
E12000003,Yorkshire and The Humber,5,97116,5480774,1.771939510733338
E12000003,Yorkshire and The Humber,6,33505,5480774,0.6113187662910384
E12000003,Yorkshire and The Humber,7,12016,5480774,0.21923910746912753
E12000003,Yorkshire and The Humber,8,8079,5480774,0.1474061875202298
E12000004,East Midlands,0,0,4880054,0.0
E12000004,East Midlands,1,597177,4880054,12.237098196044553
E12000004,East Midlands,2,730945,4880054,14.97821540499347
E12000004,East Midlands,3,322451,4880054,6.607529342913009
E12000004,East Midlands,4,256146,4880054,5.248835361248052
E12000004,East Midlands,5,86624,4880054,1.7750623251300088
E12000004,East Midlands,6,27834,4880054,0.5703625410702423
E12000004,East Midlands,7,9384,4880054,0.19229295413534359
E12000004,East Midlands,8,6773,4880054,0.13878944782168393
E12000005,West Midlands,0,0,5950757,0.0
E12000005,West Midlands,1,725807,5950757,12.196885203008625
E12000005,West Midlands,2,811252,5950757,13.6327529421887
E12000005,West Midlands,3,387589,5950757,6.51327217696841
E12000005,West Midlands,4,310365,5950757,5.215554928557829
E12000005,West Midlands,5,119362,5950757,2.0058288382469662
E12000005,West Midlands,6,45020,5950757,0.7565424029245355
E12000005,West Midlands,7,17437,5950757,0.29302154330953184
E12000005,West Midlands,8,12661,5950757,0.21276284681091834
E12000006,East of England,0,0,6335074,0.0
E12000006,East of England,1,759808,6335074,11.993672054975207
E12000006,East of England,2,915234,6335074,14.447092488580243
E12000006,East of England,3,422590,6335074,6.670640311383893
E12000006,East of England,4,359854,6335074,5.680344065436331
E12000006,East of England,5,117695,6335074,1.8578314949438635
E12000006,East of England,6,35780,6335074,0.5647921397603248
E12000006,East of England,7,11027,6335074,0.1740626865605674
E12000006,East of England,8,6794,6335074,0.10724420898635123
E12000007,London,0,0,8799728,0.0
E12000007,London,1,1001983,8799728,11.386522401601503
E12000007,London,2,1007485,8799728,11.449047061454626
E12000007,London,3,587620,8799728,6.677706401834238
E12000007,London,4,483036,8799728,5.489215121194655
E12000007,London,5,201049,8799728,2.2847183458397806
E12000007,London,6,80001,8799728,0.9091303731206238
E12000007,London,7,32571,8799728,0.3701364405808907
E12000007,London,8,30145,8799728,0.3425674066289322
E12000008,South East,0,0,9278065,0.0
E12000008,South East,1,1081739,9278065,11.659101332012655
E12000008,South East,2,1324005,9278065,14.27027079461073
E12000008,South East,3,617807,9278065,6.658791461366135
E12000008,South East,4,535503,9278065,5.771709941674261
E12000008,South East,5,172459,9278065,1.8587819766298252
E12000008,South East,6,51445,9278065,0.5544798403546429
E12000008,South East,7,15687,9278065,0.1690762028504866
E12000008,South East,8,9321,9278065,0.10046275812898486
E12000009,South West,0,0,5701186,0.0
E12000009,South West,1,741323,5701186,13.002961138261407
E12000009,South West,2,910536,5701186,15.970992702220205
E12000009,South West,3,364516,5701186,6.393687208240531
E12000009,South West,4,298067,5701186,5.228157790326434
E12000009,South West,5,93966,5701186,1.6481833779848614
E12000009,South West,6,27509,5701186,0.4825136383903279
E12000009,South West,7,8116,5701186,0.1423563448026428
E12000009,South West,8,4848,5701186,0.08503493834440763
